fecha	diario	gaceta_num	pagina	departamento	referencia	titulo	pdf
17/04/1898	Gaceta de Madrid	107	228 a 229	Ministerio de Fomento	BOE-A-1898-2052	Dirección general de Obras públicas.- Escalafón del Cuerpo de Delineantes de Obras públicas en 31 de Diciembre de 1897.	https://www.boe.es/datos/pdfs/BOE//1898/107/A00228-00229.pdf
10/02/1899	Gaceta de Madrid	41	529 a 530	Ministerio de Fomento	BOE-A-1899-895	Dirección general de Obras públicas.- Escalafón del Cuerpo de Delineantes de Obras públicas, rectificado en 20 de Enero de 1899.	https://www.boe.es/datos/pdfs/BOE//1899/041/A00529-00530.pdf
16/07/1899	Gaceta de Madrid	197	208 a 211		BOE-A-1899-4355	Administración de Justicia.	https://www.boe.es/datos/pdfs/BOE//1899/197/A00208-00211.pdf
10/08/1899	Gaceta de Madrid	222	526 a 528		BOE-A-1899-4947	Administración de Justicia.	https://www.boe.es/datos/pdfs/BOE//1899/222/A00526-00528.pdf
07/11/1899	Gaceta de Madrid	311	470 a 475		BOE-A-1899-6956	Administración de Justicia.	https://www.boe.es/datos/pdfs/BOE//1899/311/A00470-00475.pdf
09/06/1905	Gaceta de Madrid	160	968 a 969	Ministerio de Agricultura, Industria y Comercio	BOE-A-1905-3586	Caminos Vecinales.- Planes de caminos vecinales comprendidos en los contratos celebrados con las Diputaciones provinciales.	https://www.boe.es/datos/pdfs/BOE//1905/160/A00968-00969.pdf
14/07/1905	Gaceta de Madrid	195	172 a 175	Ministerio de la Gobernación	BOE-A-1905-4334	Clasificación de las plazas de Médicos titulares (provincia de Zamora).	https://www.boe.es/datos/pdfs/BOE//1905/195/A00172-00175.pdf
07/11/1907	Gaceta de Madrid	311	484 a 485	Ministerio de la Gobernación	BOE-A-1907-7930	Dirección general de Correos y Telégrafos.- Correos.- Relación de los individuos que han sido nombrados para los destinos que se expresan.	https://www.boe.es/datos/pdfs/BOE//1907/311/A00484-00485.pdf
29/11/1907	Gaceta de Madrid	333	786	Ministerio de la Gobernación	BOE-A-1907-8414	Dirección general de Correos y Telégrafos.- Relación de los individuos que han sido nombrados para los destinos que se expresan en virtud de propuestas del Ministerio de la Guerra.	https://www.boe.es/datos/pdfs/BOE//1907/333/A00786-00786.pdf
09/08/1908	Gaceta de Madrid	222	586 a 589		BOE-A-1908-5998	Administración de Justicia.	https://www.boe.es/datos/pdfs/BOE//1908/222/A00586-00589.pdf
17/08/1908	Gaceta de Madrid	230	716 a 722		BOE-A-1908-6179	Administración de Justicia.	https://www.boe.es/datos/pdfs/BOE//1908/230/A00716-00722.pdf
31/10/1908	Gaceta de Madrid	305	456 a 459		BOE-A-1908-7913	Administración de Justicia.	https://www.boe.es/datos/pdfs/BOE//1908/305/A00456-00459.pdf
28/12/1908	Gaceta de Madrid	363	1254 a 1258		BOE-A-1908-9382	Administración de Justicia.	https://www.boe.es/datos/pdfs/BOE//1908/363/A01254-01258.pdf
07/11/1913	Gaceta de Madrid	311	424 a 427	Ministerio de la Gobernación	BOE-A-1913-8892	Continuación del proyecto de ley de División electoral.	https://www.boe.es/datos/pdfs/BOE//1913/311/A00424-00427.pdf
06/02/1916	Gaceta de Madrid	37	299	Ministerio de Hacienda	BOE-A-1916-709	Dirección General de la Deuda y Clases Pasivas.- Relación de las facturas de presentación al cobro de créditos de Ultramar en el turno preferente que han de satisfacer por la Tesorería de este Centro directivo.	https://www.boe.es/datos/pdfs/BOE//1916/037/A00299-00299.pdf
18/02/1920	Gaceta de Madrid	49	600 a 601	Ministerio de Instrucción Pública y Bellas Artes	BOE-A-1920-1079	Reales órdenes resolviendo los expedientes incoados por los Ayuntamientos que se mencionan, sobre modificación del Arreglo escolar y creación de Escuelas.	https://www.boe.es/datos/pdfs/BOE//1920/049/A00600-00601.pdf
30/03/1923	Gaceta de Madrid	89	1127 a 1128	Ministerio de Fomento	BOE-A-1923-2526	Dirección general de Obras públicas.- Aguas.- Autorizando a la Sociedad agrícola de Villanazar para derivar 250 litros de agua, por segundo, del río Tera, en término de Colinas de Trasmonte y Villanazar, con destino a riegos.	https://www.boe.es/datos/pdfs/BOE//1923/089/A01127-01128.pdf
20/02/1925	Gaceta de Madrid	51	797 a 803	Ministerio de Guerra	BOE-A-1925-1631	Junta Calificadora de aspirantes a destinos civiles.- Relación nominal de las clases de activo y licenciados de todas las clases que se proponen para los destinos anunciados a concurso en Enero.	https://www.boe.es/datos/pdfs/BOE//1925/051/A00797-00803.pdf
10/02/1926	Gaceta de Madrid	41	744 a 750	Ministerio de Instrucción Pública y Bellas Artes	BOE-A-1926-1437	Dirección general de Primera enseñanza.- Maestros nombrados provisionalmente por los cuatro primeros turnos del artículo 75 del Estatuto vigente en vacantes correspondientes al mes de Octubre del año último.	https://www.boe.es/datos/pdfs/BOE//1926/041/A00744-00750.pdf
16/06/1926	Gaceta de Madrid	167	1604 a 1608	Ministerio de Instrucción Pública y Bellas Artes	BOE-A-1926-6079	Dirección general de Primera enseñanza.- Maestras nombradas provisionalmente por los cuatro primeros turnos del artículo 75 del Estatuto vigente, en vacantes correspondientes a los meses de Enero, Febrero y Marzo últimos.	https://www.boe.es/datos/pdfs/BOE//1926/167/A01604-01608.pdf
10/11/1926	Gaceta de Madrid	314	834 a 839	Ministerio de Instrucción Pública y Bellas Artes	BOE-A-1926-11309	Dirección general de Primera enseñanza.- Relación de las maestras nombradas provisionalmente por los cuatro primeros turnos del artículo 75 del Estatuto vigente, en vacantes correspondientes al mes de Septiembre último.	https://www.boe.es/datos/pdfs/BOE//1926/314/A00834-00839.pdf
28/04/1931	Gaceta de Madrid	118	375 a 380	Ministerio de Instrucción Pública y Bellas Artes	BOE-A-1931-41364	Dirección general de Primera enseñanza.- Conclusión de los nombramientos provisionales de los opositores comprendidos en la segunda lista supletoria.	https://www.boe.es/datos/pdfs/BOE//1931/118/A00375-00380.pdf
27/01/1932	Gaceta de Madrid	27	694	Ministerio de Hacienda	BOE-A-1932-40589	Dirección general de Propiedades y Contribución territorial.- Relación, por provincias, de los términos municipales en que han sido aprobados los Registros fiscales de edificios y solares desde 1º de Julio de 1930 a 30 de Junio de 1931.	https://www.boe.es/datos/pdfs/BOE//1932/027/A00694-00694.pdf
26/04/1932	Gaceta de Madrid	117	671 a 673	Ministerio de Trabajo y Previsión	BOE-A-1932-3204	Orden disponiendo que dentro del plazo de quince días se verifiquen las elecciones para la designación de los Vocales que han de integrar el Jurado mixto de Trabajo rural, de Zamora.	https://www.boe.es/datos/pdfs/BOE//1932/117/A00671-00673.pdf
19/04/1933	Gaceta de Madrid	109	474 a 490	Ministerio de Trabajo y Previsión	BOE-A-1933-3449	Órdenes declarando beneficiarios del Régimen de subsidio a familias numerosas a los señores que se mencionan.	https://www.boe.es/datos/pdfs/BOE//1933/109/A00474-00490.pdf
18/07/1933	Gaceta de Madrid	199	383 a 384	Ministerio de Hacienda	BOE-A-1933-6185	Orden disponiendo que la provincia de Zamora se divida, a los efectos del servicio recaudatorio, en las zonas que se indican.	https://www.boe.es/datos/pdfs/BOE//1933/199/A00383-00384.pdf
02/08/1933	Gaceta de Madrid	214	811 a 813	Ministerio de Hacienda	BOE-A-1933-42708	Dirección general del Tesoro público.- Anunciando la provisión por concurso del cargo de Recaudador de la Hacienda en las zonas de los puntos que se indican.	https://www.boe.es/datos/pdfs/BOE//1933/214/A00811-00813.pdf
24/11/1933	Gaceta de Madrid	328	1234 a 1235	Ministerio de la Gobernación	BOE-A-1933-9889	Órdenes relativas a la clasificación de los partidos farmacéuticos que se mencionan.	https://www.boe.es/datos/pdfs/BOE//1933/328/A01234-01235.pdf
11/08/1934	Gaceta de Madrid	223	1425 a 1430	Ministerio de Instrucción Pública y Bellas Artes	BOE-A-1934-42618	Dirección general de Primera enseñanza.- Propuesta provisional de nombramientos para Escuelas nacionales que fueron anunciadas a concurso general de traslado, y que han correspondido en primer lugar a Maestros y Maestras que solicitaron las de una sola provincia.	https://www.boe.es/datos/pdfs/BOE//1934/223/A01425-01430.pdf
04/09/1935	Gaceta de Madrid	247	1796 a 1827	Ministerio de Instrucción Pública y Bellas Artes	BOE-A-1935-43382	Dirección general de Primera enseñanza.- Relación de Escuelas vacantes.	https://www.boe.es/datos/pdfs/BOE//1935/247/A01796-01827.pdf
26/11/1935	Gaceta de Madrid	330	1638 a 1662	Ministerio de Instrucción Pública y Bellas Artes	BOE-A-1935-44223	Dirección general de Primera enseñanza.- Disponiendo se publiquen las relaciones de adjudicación provisional de Escuelas vacantes a los Maestros y Maestras que se indican.	https://www.boe.es/datos/pdfs/BOE//1935/330/A01638-01662.pdf
02/01/1941	Boletín Oficial del Estado	2	24 a 25	Ministerio de la Gobernación	BOE-A-1941-24	Órdenes por las que se aprueba la constitución de agrupaciones intermunicipales al solo efecto de tener un Secretario común, en concepto de convenientes, de las provincias de Alava y Zamora.	https://www.boe.es/datos/pdfs/BOE//1941/002/A00024-00025.pdf
04/09/1941	Boletín Oficial del Estado	247	6756 a 6767	Ministerio de Educación Nacional	BOE-A-1941-8709	Transcribiendo las vacantes que se han de proveer en el Concurso general de traslados del Magisterio.	https://www.boe.es/datos/pdfs/BOE//1941/247/A06756-06767.pdf
10/09/1941	Boletín Oficial del Estado	253	1 a 183	Ministerio de la Gobernación		Dirección General de Administración Local.- Escalafón provisional del Cuerpo de Secretarios de Administración Local de segunda categoría.- Suplemento al número 253.- Fascículo único.	https://www.boe.es/datos/pdfs/BOE//1941/253/D00001-00183.pdf
01/08/1944	Boletín Oficial del Estado	214	1 a 219	Ministerio de la Gobernación		Cifras del total de los presupuestos ordinarios de ingresos del año 1943 de cada uno de los Municipios de España que constituyen los grupos de población: Municipios de hasta 1000 habitantes de Derecho; de 1001 a 5000; de 5001 a 20000; de 20001 a 100000, y de más de 100000.	https://www.boe.es/datos/pdfs/BOE//1944/214/D00001-00219.pdf
04/10/1944	Boletín Oficial del Estado	278	7436 a 7438	Ministerio de la Gobernación	BOE-A-1944-9055	Dirección General de Correos y Telecomunicación (Correos).- Transcribiendo relación de los Agentes rurales declarados aptos y propuestos para serles concedida la propiedad en el cargo que interinamente desempeñan.	https://www.boe.es/datos/pdfs/BOE//1944/278/A07436-07438.pdf
02/04/1945	Boletín Oficial del Estado	92	2557 a 2596	Ministerio de Justicia	BOE-A-1945-3382	Orden por la que se aprueba la demarcación de los Juzgados Municipales, Comarcales y de Paz.	https://www.boe.es/datos/pdfs/BOE//1945/092/A02557-02596.pdf
29/06/1946	Boletín Oficial del Estado	180	1 a 224	Ministerio de la Gobernación		Subsecretaría (Sección Especial de Estadística del Ministerio).- Estadísticas de la Dirección General de Administración Local (Vida Local). Presupuestos municipales y provinciales del año 1944. Situación económica, deuda e inventario de los patrimonios municipales y provinciales en 31 de diciembre de 1943. (Suplemento al número 180.- Fascículo único, páginas 1 a 224.).	https://www.boe.es/datos/pdfs/BOE//1946/180/D00001-00224.pdf
22/07/1947	Boletín Oficial del Estado	203	4129 a 4137	Ministerio del Aire	BOE-A-1947-7251	Orden de 2 de julio de 1947 por la que se transcribe relación de los aspirantes a aprendices, con expresión de la residencia, que con motivo de la convocatoria publicada en el "Boletín Oficial del Ministerio del Aire", número 50, de 1 de mayo del corriente año, han sido seleccionadas sus instancias para ser reconocidos y examinados en el mes de julio y agosto próximo en fecha que oportunamente se les comunicará.	https://www.boe.es/datos/pdfs/BOE//1947/203/A04129-04137.pdf
12/04/1948	Boletín Oficial del Estado	103	869 a 877			Anuncios oficiales.	https://www.boe.es/datos/pdfs/BOE//1948/103/C00869-00877.pdf
01/07/1949	Boletín Oficial del Estado	182	2935	Ministerio de la Gobernación	BOE-A-1949-6739	Dirección General de Administración Local.- Disponiendo la publicación del Escalafón de Secretarios de segunda categoría, totalizado al 31 de diciembre de 1947.- Suplemento al número 182. Fascículo único, páginas 1 a 56.	https://www.boe.es/datos/pdfs/BOE//1949/182/A02935-02935.pdf
22/04/1950	Boletín Oficial del Estado	112	1751 a 1758	Ministerio de la Gobernación	BOE-A-1950-4700	Dirección General de Administración Local.- Convocando concurso para la provisión en propiedad de las plazas vacantes de Secretarios de Administración Local de tercera categoría.	https://www.boe.es/datos/pdfs/BOE//1950/112/A01751-01758.pdf
