numero	codigo	titulo	autores	paginas	acceso
1993, Nº 3	1427498	Addenda e corrigenda a "Noticias sobre tres villae romanas con mosaicos en el valle del Esla: Cimanes de la Vega, Villaquejida, San Millán de los Caballeros"	Fernando Regueras Grande	75-82	abierto
1993, Nº 3	1427503	Nuevas evidencias sobre una vieja iglesia mozárabe	Luis A. Grau Lobo; Fernando Regueras Grande	82-114	abierto
1993, Nº 3	1427508	Síntesis gliptográfica de la iglesia abacial de San Martín de Castañeda	Saturnino Prieto Morillo	115-128	abierto
1993, Nº 3	1427510	La portada meridional de San Juan del Mercado en Benavente	Luis A. Grau Lobo	129-154	abierto
1993, Nº 3	1427514	El sitio de Benavente por el duque de Lancaster y el rey João I de Portugal	Vidal Aguado Seisdedos	129-154	abierto
1993, Nº 3	1427517	Francisco López de Villalobos, médico real (1473-1549)	Anastasio Rojo Vega	175-186	abierto
1993, Nº 3	1427518	Fuentes de Carbajal	José Antonio García Bolaños	187-210	abierto
1993, Nº 3	1427520	Algunos datos sobre el traslado a Estados Unidos de determinadas piezas arquitectónicas del castillo de Benavente	José Miguel Merino Cáceres	211-228	abierto
1993, Nº 3	1427524	Documentos para la historia de Benavente durante el reinado de Fernando II (1157-1188)	Rafael González Rodríguez	229-252	abierto
1993, Nº 3	1427527	Notas sobre el cormorán grande y la tórtola turca en Zamora	José Ignacio Regueras Grande	253-258	abierto
2005, Nº 15	2002788	Carlos Duque Herrero (1960-2005)	Fernando Regueras Grande	9-11	abierto
2005, Nº 15	2002791	La educación musical en Benavente durante la Restauración (1875-1902)	Alfredo Llamas Gallego	15-36	abierto
2005, Nº 15	2002793	La banda de música municipal de Benavente y la figura del maestro Lupicino Jiménez Camino (1923-1949)	Manuel Fernández del Hoyo	37-64	abierto
2005, Nº 15	2002796	Santo Tirso en Villarrín de Campos (Zamora)	Elías Rodríguez Rodríguez	65-78	abierto
2005, Nº 15	2002798	La Mota de Castrogonzalo. Una fortificación terrera en al alfoz medieval de Benavente	Rafael González Rodríguez	79-104	abierto
2005, Nº 15	2002801	Avance de los trabajos de inventario del Archivo del Hospital de la Piedad de Benavente	Juan Carlos de la Mata Guerra	105-128	abierto
2005, Nº 15	2002803	El entorno de Benavente en el "Jardín de Flores Curiosas" de Antonio de Torquemada	José Ignacio Martín Benito	129-144	abierto
2005, Nº 15	2002806	La religiosidad colectiva de los zamoranos en la segunda mitad del siglo XVIII	Fernando Manzano Ledesma	145-168	abierto
2005, Nº 15	2002808	Estado del Palacio de Toral de los Guzmanes (León) a finales del siglo XIX	Javier Revilla Casado	169-186	abierto
2005, Nº 15	2002811	Valles de Benavente. Refranes y dichos. Calendario agrícola	Emiliano Pérez Mencía	187-216	abierto
2005, Nº 15	2002813	Los juegos tradicionales en Benavente y Los Valles	Manuel Barrio Prada	217-246	abierto
2005, Nº 15	2002815	El cerco de Benavente por el Duque de Lancaster en la "Comedia famosa de la próspera fortuna del famoso Ruy López de Avalos el Bueno", de Damián Salustrio del Poyo	Roxana Pérez Hidalgo	247-266	abierto
2005, Nº 15	2002817	Dos imágenes y un texto poco conocidos de Benavente	Fernando Regueras Grande	267-278	abierto
2005, Nº 15	2002819	La portada de Santa María del Azogue de Benavente, obra de los arquitectos Francisco de la Riva Ladrón de Guevara y Valentín Antonio de Mazarrasa	Olav Mazarrasa Mowinckel	279-288	abierto
2005, Nº 15	2002825	Arte y arquitectura Mudéjar en las provincias de León y Zamora	Pedro José Lavado Paradinas	289-334	abierto
2005, Nº 15	2002827	Un San Pedro "in Cathedra" de Alejo de Vahía en Valderas	Miguel Angel Marcos Villán; Ana Fraile Gómez	335-338	abierto
